probability,t_id
0.554193964742,8309
0.520788501934,9017
0.538412299571,10709
0.536120753644,3475
0.493218329395,10140
0.515844528471,266
0.531086873866,12749
0.537296301855,5826
0.529111968199,1191
0.444462779733,4810
0.515633718343,3794
0.534161497703,8142
0.521615898193,6986
0.486053890548,690
0.510596527416,1009
0.486343656935,5522
0.528319172358,7704
0.507245812503,1471
0.520103894372,6808
0.515006741412,2255
0.518326659032,4134
0.53477749334,4066
0.512495948744,4394
0.510247389451,10876
0.524422166386,13348
0.53762146835,3705
0.495831326539,12302
0.519792765165,10471
0.559101086407,6690
0.530775629041,5606
0.533831815178,7367
0.517768912465,9253
0.508022726717,11387
0.51450573504,2648
0.470152043533,4063
0.508615420633,7034
0.546875366292,8326
0.479363273883,3263
0.551219568465,4155
0.495608692124,12813
0.508701183336,12462
0.506813827114,9802
0.538947149648,2160
0.453864155816,6746
0.484489929787,12306
0.526047772806,8405
0.525176263415,1591
0.513279657048,3932
0.503516363318,2947
0.553212129596,7976
0.509558210254,12731
0.451365141456,9885
0.399460649878,348
0.492833060163,13145
0.512404917926,12077
0.521786122255,1116
0.515518672932,10301
0.488197001011,12985
0.456585532381,4477
0.488769774623,10741
0.532943159049,4387
0.52619669802,9320
0.512235645613,2980
0.493158905111,1156
0.516420608907,12358
0.531244846523,2184
0.508839557197,3406
0.514649951989,4545
0.492836742912,10857
0.516886555425,1930
0.520931528549,1789
0.531080172446,1006
0.499907765645,11675
0.53329754319,11955
0.45048261055,7719
0.47398648513,5354
0.5259626158,9687
0.516203966637,36
0.51744718689,892
0.517045802778,10342
0.518898289195,10259
0.490138964027,9538
0.486736940612,4975
0.510038522886,10375
0.49331984008,3902
0.399323278503,6905
0.496394677609,9889
0.524379776253,118
0.492648965949,8039
0.528716754194,5712
0.489578014329,8259
0.526340446909,10571
0.490046048777,7187
0.537852704003,1076
0.482637482764,13059
0.527701700421,11221
0.527552801936,8413
0.516739828967,3749
0.471687572825,7177
0.454635376766,9493
0.528341263306,11209
0.538161051446,12552
0.514564242743,6842
0.526333646136,6700
0.530849776885,6864
0.488168455133,7924
0.514422848532,8932
0.524591834348,8409
0.511094431232,3331
0.513757292189,2875
0.543479947209,8065
0.547167551196,12966
0.471350013408,9366
0.533532150921,7685
0.533514433657,80
0.504782482648,62
0.510776600604,4837
0.493602424293,6140
0.513197482532,2996
0.526109018353,7023
0.52563992519,8239
0.507118612218,5957
0.490925257152,9781
0.518688790073,6874
0.520539577765,4030
0.464081769874,2210
0.541390798071,7123
0.471513664073,10339
0.467845370963,1349
0.394997176831,6106
0.522242380201,10319
0.521273749191,1568
0.445197136371,4716
0.474949914978,6732
0.475365478854,10371
0.517622703955,12375
0.520708489861,9848
0.526519956254,13111
0.50162072667,3386
0.518197058385,13146
0.529113064236,8971
0.532978101478,1774
0.444361502172,5921
0.524550135901,4619
0.521471932391,5353
0.413914614335,1161
0.511832964739,3567
0.494804738973,12291
0.548498485224,4064
0.450239624243,2576
0.474920935378,2590
0.454509982489,9071
0.496130828403,7666
0.445671103008,11455
0.486888605477,7620
0.528688701427,6964
0.511986931752,8015
0.575187650524,140
0.524207136524,5489
0.513791421513,7251
0.509813347524,1170
0.538125617798,10026
0.493811193397,12198
0.529045201237,5401
0.527270813969,10225
0.494967748509,459
0.489274498248,9526
0.463287028451,9504
0.53369716807,13285
0.555812306779,12856
0.529037695155,7583
0.549640301721,6799
0.517051579257,10273
0.430647053566,8044
0.460496392804,638
0.490937970534,5454
0.525428683101,4425
0.492577633279,677
0.482379067847,12783
0.514801465137,1043
0.514837216009,2180
0.47113950991,523
0.504200245654,6841
0.536403103848,11975
0.499983523564,2477
0.521670181533,10417
0.496982928119,8339
0.540686441544,529
0.481392676122,7551
0.523925261274,9448
0.53180047364,8155
0.491371619587,12457
0.519560617054,3544
0.533503506701,11283
0.534504544115,8608
0.510806151739,7673
0.536449797059,5371
0.519952038365,10775
0.520741341589,2003
0.550576529228,6660
0.553580295081,2262
0.555036006966,13165
0.507354648593,9009
0.456710312129,12626
0.531216817584,9852
0.522663878158,8288
0.520459452975,6629
0.510120868498,7562
0.508433849078,1749
0.474957746856,10604
0.508967401512,2542
0.52108696412,6497
0.524453172893,7872
0.523528870295,8404
0.549566473121,2625
0.537157867855,3162
0.529296776168,4906
0.431074349059,12218
0.51821493048,8857
0.484251955521,10957
0.55102782494,9551
0.45789658468,4986
0.560019441819,11900
0.532745897009,22
0.3959556921,1258
0.487406014079,1680
0.513645161307,6708
0.485177191469,2592
0.375058156125,4245
0.456272961165,5964
0.491061681519,5644
0.529090187793,3593
0.528939534738,78
0.494080915533,7688
0.409645304495,5679
0.517608972288,8663
0.524875663753,780
0.480993936089,182
0.5083259141,4846
0.527373329784,1295
0.538237061657,5971
0.479705877742,4753
0.488938578664,779
0.467670097617,5594
0.472722094393,10893
0.528179398602,12583
0.506804458666,870
0.511031126375,2803
0.57272925471,5718
0.535022155662,12263
0.506637894483,11029
0.491447189806,3770
0.533827266619,9778
0.522302202905,6274
0.496261994239,11720
0.50733963933,1475
0.528453879606,5257
0.514279993861,6866
0.536834789159,7681
0.522860641338,6177
0.509168721902,1970
0.533998767317,1723
0.513099483627,3742
0.472670191446,8019
0.514555036901,11077
0.513626523763,8199
0.490552164735,7315
0.486325748399,2045
0.517220462604,7460
0.528586814258,11576
0.515266127165,13008
0.509803275787,3984
0.52572859574,4268
0.515115133271,8552
0.549854778462,10671
0.510261840544,1004
0.518620260097,6218
0.510434368437,12311
0.529235748492,1330
0.490731151805,8160
0.373188756975,8109
0.51083231049,8049
0.538127752632,10686
0.518666441161,11552
0.512128601285,12042
0.524588143907,8299
0.532535965046,10678
0.517044389518,5124
0.448862801666,3925
0.516033804998,6767
0.493310235605,8541
0.516664868899,6480
0.487303391421,12417
0.527753160063,4060
0.51520900578,11673
0.450864023035,2046
0.531914632711,11301
0.484661266202,9610
0.510636641507,10137
0.487514690547,4228
0.507404909946,3200
0.505933123272,4730
0.509694176061,9130
0.521351463156,1121
0.525552665,8477
0.44065076424,9293
0.529278580167,11679
0.577989850376,3757
0.559700569493,5559
0.496832115571,10632
0.553793122406,7678
0.507921842914,7132
0.487357188384,6823
0.415129402124,7884
0.553611870094,11292
0.542180302901,7842
0.532728530378,6277
0.557975883516,10414
0.493750675847,9654
0.472628543686,10222
0.492717370723,6185
0.524557114452,11614
0.511110888047,2787
0.521648506202,11414
0.525580928956,4564
0.492298538784,13026
0.513929664372,7655
0.504443310256,5783
0.554119908687,4328
0.489076838669,3462
0.472611225852,11682
0.521538805389,13178
0.493742133998,11904
0.512915940771,12475
0.471870245079,12513
0.463838691907,2054
0.473150423892,3143
0.51244356328,7640
0.523592676835,13159
0.507897282763,10178
0.534429896607,6656
0.541516224879,3394
0.51680966995,6112
0.43088563366,10212
0.508064189007,7978
0.51372907791,6674
0.514402612388,3629
0.525773183747,11063
0.513385291017,1904
0.517366564199,9721
0.45126744162,4487
0.512713686866,5727
0.470104071844,12216
0.509709753829,10368
0.493163904668,11857
0.510213371835,9114
0.49263618318,13263
0.53294479018,5774
0.541708011398,8639
0.526170718807,4324
0.49742048258,6920
0.460669963276,3154
0.538260697747,891
0.468408932082,6833
0.513835487791,3234
0.496070614713,4402
0.511096335712,11827
0.526389916084,13019
0.550317748293,8977
0.449689116212,11767
0.52923860086,12810
0.53861509059,281
0.494138142952,689
0.521953149919,2582
0.520750238865,101
0.470410057129,8609
0.515166070971,9650
0.510136314383,1432
0.495424171749,8980
0.527393538318,10572
0.497041580272,7960
0.519956664211,6926
0.512695187887,5582
0.516924072212,727
0.516366157451,10999
0.516986508486,6312
0.46195659992,4556
0.493917258186,218
0.499045839802,9171
0.521801003417,13259
0.519479457248,10232
